product_id,sku,name,category_id,supplier_id,unit_price,unit_cost,reorder_level,reorder_qty
88,SKU-000088,Reduced bandwidth-monitored alliance,7,96,420.21,232.16,17,157
89,SKU-000089,Multi-tiered didactic hardware,7,25,631.29,358.69,48,197
90,SKU-000090,Ameliorated exuding function,17,16,717.01,491.1,49,177
91,SKU-000091,Multi-channeled heuristic moratorium,14,67,508.56,334.58,26,79
92,SKU-000092,Multi-layered context-sensitive neural-net,6,70,733.38,476.22,32,147
93,SKU-000093,Horizontal tangible process improvement,4,12,267.59,147.84,11,72
94,SKU-000094,Versatile regional moratorium,4,82,616.71,334.2,33,178
95,SKU-000095,Extended directional time-frame,15,71,458.08,299.4,29,79
96,SKU-000096,Persistent incremental project,13,1,147.74,102.6,28,107
97,SKU-000097,Fundamental fault-tolerant utilization,14,87,480.9,261.36,20,51
98,SKU-000098,Multi-layered multi-state support,11,43,570.82,462.53,15,196
99,SKU-000099,Seamless secondary infrastructure,2,74,275.65,222.3,32,82
100,SKU-000100,Enhanced impactful functionalities,17,21,931.82,482.81,32,109
101,SKU-000101,Decentralized responsive orchestration,13,98,86.76,52.9,45,116
102,SKU-000102,Expanded background array,1,56,607.29,430.7,5,89
103,SKU-000103,Multi-tiered 4thgeneration synergy,5,59,29.05,16.79,45,141
104,SKU-000104,Ergonomic national encryption,13,99,134.27,97.3,21,63
105,SKU-000105,Ameliorated scalable paradigm,4,15,255.78,142.1,34,81
106,SKU-000106,Enterprise-wide background archive,16,47,74.72,56.18,18,150
107,SKU-000107,Compatible mobile product,3,27,81.5,53.62,48,157
108,SKU-000108,Enterprise-wide exuding access,6,85,233.28,194.4,41,58
109,SKU-000109,Seamless radical moratorium,1,21,100.51,62.43,38,115
110,SKU-000110,Assimilated national adapter,17,66,842.79,476.15,14,105
111,SKU-000111,Assimilated fresh-thinking challenge,8,11,565.73,445.46,49,82
112,SKU-000112,Cross-group grid-enabled strategy,10,60,174.19,139.35,36,161
113,SKU-000113,Enhanced dedicated software,9,51,349.15,264.51,11,199
114,SKU-000114,Expanded uniform matrix,14,58,494.87,408.98,32,119
115,SKU-000115,Networked interactive customer loyalty,12,48,742.34,419.4,45,66
116,SKU-000116,Function-based optimizing installation,10,78,383.15,232.21,46,185
117,SKU-000117,Inverse interactive utilization,6,46,261.68,182.5,20,68
118,SKU-000118,Digitized zero-defect functionalities,4,2,165.87,112.84,25,52
119,SKU-000119,Re-contextualized fresh-thinking emulation,3,50,587.38,369.42,23,104
120,SKU-000120,Grass-roots transitional portal,3,74,463.87,271.27,46,157
121,SKU-000121,Intuitive dedicated customer loyalty,2,64,492.74,351.96,36,61
122,SKU-000122,Right-sized fresh-thinking parallelism,13,31,254.93,142.53,41,55
123,SKU-000123,Horizontal clear-thinking initiative,2,69,234.05,147.2,38,60
124,SKU-000124,Phased bandwidth-monitored website,14,93,314.68,174.82,24,120
125,SKU-000125,Configurable next generation time-frame,11,64,249.09,164.96,44,62
126,SKU-000126,Stand-alone bottom-line hub,4,4,331.51,203.38,19,62
127,SKU-000127,Team-oriented uniform Internet solution,8,22,1056.69,424.1,10,98
128,SKU-000128,Business-focused empowering toolset,2,15,700.24,372.47,8,127
129,SKU-000129,Seamless homogeneous flexibility,6,18,75.82,40.33,42,167
130,SKU-000130,Open-source scalable knowledge user,4,67,137.62,63.16,38,111
131,SKU-000131,Inverse zero administration superstructure,16,29,401.77,297.61,10,117
132,SKU-000132,Realigned dynamic protocol,7,89,571.84,394.37,9,69
133,SKU-000133,Advanced static data-warehouse,15,50,634.53,499.63,17,174
134,SKU-000134,Virtual multi-tasking migration,11,98,97.0,55.43,24,166
135,SKU-000135,Multi-lateral human-resource knowledge user,17,26,500.53,337.19,30,98
136,SKU-000136,Synergized fault-tolerant orchestration,4,19,45.19,37.35,34,77
137,SKU-000137,Persevering contextually-based flexibility,1,61,459.77,383.14,47,185
138,SKU-000138,Configurable heuristic Internet solution,7,20,561.45,233.45,30,178
139,SKU-000139,Organic encompassing hub,4,7,356.24,222.65,46,147
140,SKU-000140,Ergonomic impactful conglomeration,9,68,515.86,376.54,43,176
141,SKU-000141,Business-focused secondary encryption,4,29,500.32,267.55,12,63
142,SKU-000142,Cloned national attitude,9,29,598.52,460.4,44,153
143,SKU-000143,Upgradable system-worthy flexibility,16,27,259.2,202.5,15,102
144,SKU-000144,Right-sized executive superstructure,1,13,341.64,179.81,16,178
145,SKU-000145,Integrated system-worthy encoding,6,41,905.77,466.89,48,67
146,SKU-000146,Digitized 24/7 secured line,16,55,137.82,87.23,26,55
147,SKU-000147,Synergistic well-modulated access,12,61,111.72,92.33,42,50
148,SKU-000148,Ameliorated non-volatile software,10,30,317.59,252.31,38,178
149,SKU-000149,Cross-platform bandwidth-monitored framework,11,58,175.04,87.96,36,139
150,SKU-000150,Multi-lateral logistical access,12,39,371.34,281.32,50,135
151,SKU-000151,Programmable upward-trending productivity,1,19,711.34,458.66,31,106
152,SKU-000152,Assimilated dynamic orchestration,14,47,552.86,339.18,18,72
153,SKU-000153,Self-enabling systematic moratorium,15,68,137.0,101.48,16,117
154,SKU-000154,Object-based optimizing instruction set,9,40,665.78,468.86,17,60
155,SKU-000155,Decentralized intermediate utilization,15,73,531.61,298.66,27,123
156,SKU-000156,Digitized maximized software,5,67,108.65,58.1,23,192
157,SKU-000157,Horizontal asymmetric website,10,2,554.36,342.2,34,60
158,SKU-000158,Pre-emptive fault-tolerant ability,14,46,181.38,113.36,47,50
159,SKU-000159,Horizontal zero tolerance middleware,5,12,39.34,27.32,50,119
160,SKU-000160,Reduced attitude-oriented frame,8,5,117.69,75.93,35,140
161,SKU-000161,Open-architected bandwidth-monitored firmware,10,77,199.98,129.86,24,94
162,SKU-000162,Devolved systemic throughput,7,33,505.56,290.55,13,156
163,SKU-000163,Configurable exuding open system,15,70,396.5,285.25,16,146
164,SKU-000164,Team-oriented foreground middleware,12,60,758.62,402.55,27,159
165,SKU-000165,Assimilated next generation algorithm,14,12,382.44,240.53,13,127
166,SKU-000166,Re-contextualized explicit application,13,17,811.51,404.31,30,51
167,SKU-000167,Configurable analyzing flexibility,4,43,382.35,238.97,43,74
168,SKU-000168,Managed analyzing capability,17,95,794.06,422.37,50,63
169,SKU-000169,User-centric modular challenge,8,87,617.75,361.26,45,89
170,SKU-000170,Adaptive mobile process improvement,7,15,301.06,156.8,9,50
171,SKU-000171,Cross-platform dynamic database,4,61,134.08,80.77,6,179
172,SKU-000172,Polarized contextually-based encoding,9,79,364.88,229.5,48,162
173,SKU-000173,Digitized scalable adapter,6,19,684.85,441.84,47,111
174,SKU-000174,Polarized explicit frame,4,76,143.44,89.65,36,144
175,SKU-000175,Total bi-directional Local Area Network,14,55,511.59,343.35,14,57
176,SKU-000176,Networked 24/7 paradigm,10,5,253.84,147.58,46,163
177,SKU-000177,Up-sized logistical focus group,1,21,37.29,23.45,27,178
178,SKU-000178,Triple-buffered multi-tasking info-mediaries,17,9,634.52,440.64,16,88
179,SKU-000179,Universal zero tolerance challenge,9,98,288.87,182.83,47,127
180,SKU-000180,Polarized homogeneous leverage,6,74,863.59,474.5,50,179
181,SKU-000181,Reverse-engineered optimal hardware,13,9,842.5,399.84,7,57
182,SKU-000182,Cross-platform static benchmark,16,87,566.22,438.93,35,132
183,SKU-000183,Enhanced upward-trending info-mediaries,14,9,927.25,391.29,8,114
184,SKU-000184,Virtual holistic portal,1,23,94.22,60.4,25,77
185,SKU-000185,Re-engineered next generation customer loyalty,7,33,893.72,359.57,36,162
186,SKU-000186,User-centric cohesive Internet solution,17,25,436.7,349.36,10,199
187,SKU-000187,Automated client-driven ability,12,100,18.65,14.8,31,195
188,SKU-000188,Synergized upward-trending superstructure,17,64,346.74,281.9,17,103
189,SKU-000189,Secured next generation challenge,3,57,427.17,294.6,32,146
190,SKU-000190,Innovative bandwidth-monitored capability,16,30,997.47,449.9,8,188
191,SKU-000191,Function-based human-resource strategy,12,9,234.54,171.2,15,123
192,SKU-000192,Seamless motivating function,13,80,67.53,40.68,8,189
193,SKU-000193,Streamlined 4thgeneration alliance,11,54,477.66,359.14,21,101
194,SKU-000194,Upgradable full-range system engine,2,31,254.95,173.97,36,68
195,SKU-000195,Compatible intangible policy,3,71,597.2,414.72,35,83
196,SKU-000196,Profit-focused directional projection,12,56,175.63,140.92,35,127
197,SKU-000197,Assimilated zero-defect toolset,7,69,683.89,402.29,43,147
198,SKU-000198,Polarized actuating info-mediaries,13,90,598.18,351.87,13,160
199,SKU-000199,Seamless holistic help-desk,7,44,639.69,361.54,32,64
200,SKU-000200,Advanced discrete installation,2,2,215.76,123.29,20,64
201,SKU-000201,Enterprise-wide executive analyzer,11,45,65.05,41.7,43,112
202,SKU-000202,Switchable bottom-line protocol,3,10,243.37,151.16,21,189
203,SKU-000203,Organic transitional framework,12,100,137.77,107.63,40,124
204,SKU-000204,Future-proofed foreground standardization,17,14,746.21,446.83,8,138
205,SKU-000205,Configurable demand-driven challenge,17,30,625.75,463.52,24,191
206,SKU-000206,Digitized 5thgeneration encoding,15,84,209.57,109.15,34,79
207,SKU-000207,Grass-roots optimizing info-mediaries,10,11,16.92,12.63,8,121
208,SKU-000208,Ameliorated homogeneous info-mediaries,15,6,716.84,439.78,19,102
209,SKU-000209,Business-focused stable function,2,70,329.67,196.23,27,56
210,SKU-000210,Versatile optimizing data-warehouse,1,44,622.13,467.77,44,161
211,SKU-000211,Up-sized systematic forecast,15,55,855.12,445.54,41,195
212,SKU-000212,Multi-tiered maximized synergy,8,17,474.79,395.66,5,121
213,SKU-000213,Visionary needs-based frame,11,74,1029.04,411.87,30,59
214,SKU-000214,Switchable eco-centric toolset,1,16,425.25,317.35,24,195
215,SKU-000215,Organic maximized adapter,15,2,415.3,340.41,34,59
216,SKU-000216,Realigned didactic installation,2,75,898.57,496.45,10,120
217,SKU-000217,Organic contextually-based firmware,9,34,831.2,461.78,36,82
218,SKU-000218,Streamlined actuating emulation,4,84,277.11,118.8,7,97
219,SKU-000219,Intuitive 6thgeneration neural-net,8,8,613.59,352.64,50,116
220,SKU-000220,Universal 6thgeneration policy,8,45,225.11,133.2,11,69
221,SKU-000221,Compatible disintermediate database,11,74,431.57,261.56,28,156
222,SKU-000222,Digitized 4thgeneration Graphic Interface,12,43,52.8,38.82,31,145
223,SKU-000223,Multi-layered 6thgeneration frame,5,76,290.84,242.37,6,77
224,SKU-000224,Universal zero-defect support,17,75,516.9,313.27,50,138
225,SKU-000225,Automated stable success,5,49,840.89,483.27,46,70
226,SKU-000226,Profit-focused object-oriented product,14,69,846.07,491.9,12,185
227,SKU-000227,Progressive multi-state intranet,11,35,755.5,410.6,17,197
228,SKU-000228,Visionary high-level emulation,15,41,199.53,152.31,12,111
229,SKU-000229,Configurable heuristic open architecture,17,10,335.7,229.93,28,173
230,SKU-000230,Focused non-volatile capacity,8,100,476.27,311.29,31,199
231,SKU-000231,Mandatory foreground capability,3,53,465.35,342.17,31,179
232,SKU-000232,Visionary dedicated contingency,15,2,139.91,77.73,15,80
233,SKU-000233,Cross-platform clear-thinking alliance,14,4,421.84,216.33,49,92
234,SKU-000234,Multi-channeled clear-thinking initiative,8,92,60.31,39.16,23,80
235,SKU-000235,Balanced asynchronous support,12,58,334.91,174.43,31,165
236,SKU-000236,Polarized tangible challenge,6,93,747.84,381.55,42,180
237,SKU-000237,Reverse-engineered holistic service-desk,15,49,77.33,44.19,25,162
238,SKU-000238,Cross-platform discrete framework,16,44,183.45,92.65,8,194
239,SKU-000239,Inverse human-resource functionalities,6,19,364.03,267.67,7,103
240,SKU-000240,Seamless foreground attitude,12,37,385.2,222.66,15,80
241,SKU-000241,Face-to-face composite forecast,9,78,232.99,149.35,11,109
242,SKU-000242,Profound web-enabled concept,1,77,504.35,343.35,7,188
243,SKU-000243,Assimilated holistic database,10,74,449.13,277.24,32,163
244,SKU-000244,Customizable transitional strategy,4,57,367.38,268.16,32,176
245,SKU-000245,Upgradable static budgetary management,12,11,183.75,136.11,19,69
246,SKU-000246,Persevering responsive support,17,87,228.42,169.2,9,130
247,SKU-000247,Programmable foreground core,2,82,1105.7,458.4,45,52
248,SKU-000248,Synergistic dedicated firmware,16,20,162.78,127.17,36,97
249,SKU-000249,Cross-group multi-state success,7,1,550.64,377.63,32,67
250,SKU-000250,Enhanced 5thgeneration instruction set,9,79,482.05,253.71,29,199
251,SKU-000251,Progressive stable contingency,10,30,197.72,122.81,23,174
252,SKU-000252,Multi-channeled needs-based matrices,10,13,444.93,252.8,19,78
253,SKU-000253,Organized fresh-thinking encryption,14,15,758.82,495.96,16,168
254,SKU-000254,Total hybrid strategy,5,100,707.62,491.4,35,175
255,SKU-000255,Implemented encompassing middleware,7,53,402.38,309.52,8,193
256,SKU-000256,Intuitive incremental infrastructure,15,55,739.18,397.41,30,116
257,SKU-000257,Upgradable directional Graphical User Interface,2,40,760.75,469.6,33,154
258,SKU-000258,Expanded zero-defect product,4,79,194.43,115.73,44,134
259,SKU-000259,Ameliorated homogeneous array,11,46,132.04,68.77,40,66
260,SKU-000260,Public-key dedicated complexity,13,92,492.9,337.6,19,124
261,SKU-000261,Open-source didactic neural-net,8,2,585.32,412.2,7,55
262,SKU-000262,Object-based mobile analyzer,6,37,637.42,388.67,24,56
263,SKU-000263,Future-proofed value-added capability,13,84,167.72,119.8,30,83
264,SKU-000264,Profit-focused uniform strategy,14,3,547.01,420.94,5,188
265,SKU-000265,Reverse-engineered hybrid core,10,42,603.71,311.19,32,181
266,SKU-000266,Persevering dedicated attitude,9,84,515.97,382.2,41,170
267,SKU-000267,Open-source next generation focus group,16,37,289.4,194.37,49,186
268,SKU-000268,Proactive upward-trending infrastructure,12,98,313.57,261.31,39,77
269,SKU-000269,Visionary discrete knowledge user,12,62,349.92,233.28,41,77
270,SKU-000270,Configurable bandwidth-monitored open architecture,6,27,746.48,331.39,36,113
271,SKU-000271,Phased multi-state success,8,8,78.64,44.18,36,114
272,SKU-000272,Team-oriented non-volatile policy,14,1,264.95,212.39,22,103
273,SKU-000273,Proactive foreground projection,8,42,656.92,388.71,34,173
274,SKU-000274,Compatible homogeneous capacity,1,21,465.9,265.71,38,81
275,SKU-000275,Optimized modular concept,17,63,109.13,87.25,13,190
276,SKU-000276,Decentralized intermediate frame,9,67,296.62,216.51,25,145
277,SKU-000277,Synergized demand-driven website,12,67,458.71,290.83,43,114
278,SKU-000278,User-friendly uniform challenge,6,68,345.9,243.59,50,171
279,SKU-000279,Distributed methodical architecture,1,40,9.03,7.4,49,98
280,SKU-000280,Persevering full-range attitude,2,80,176.2,104.88,34,90
281,SKU-000281,Self-enabling 24/7 core,9,37,52.47,36.44,32,199
282,SKU-000282,Visionary impactful extranet,7,10,671.95,375.39,42,89
283,SKU-000283,Enhanced empowering open system,4,17,74.16,54.93,38,200
284,SKU-000284,Re-engineered zero administration parallelism,9,95,472.83,332.98,44,171
285,SKU-000285,Extended background website,5,19,140.88,109.21,15,171
286,SKU-000286,Business-focused client-driven migration,15,55,853.1,449.0,47,170
287,SKU-000287,Realigned hybrid implementation,13,91,220.19,169.38,35,140
288,SKU-000288,Configurable real-time data-warehouse,6,82,269.97,161.66,22,86
289,SKU-000289,Team-oriented zero tolerance extranet,4,72,700.73,432.55,32,139
290,SKU-000290,Visionary static hardware,14,28,148.35,93.3,44,193
291,SKU-000291,Enhanced value-added access,7,57,661.85,450.24,28,184
292,SKU-000292,Cross-platform holistic extranet,17,2,143.42,101.0,43,119
293,SKU-000293,Polarized hybrid analyzer,9,36,36.07,19.82,45,64
294,SKU-000294,Phased real-time product,15,63,954.48,499.73,16,171
295,SKU-000295,Multi-layered 4thgeneration pricing structure,5,91,540.15,385.82,16,83
296,SKU-000296,Organic scalable strategy,2,41,75.7,44.53,11,189
297,SKU-000297,Synergistic foreground strategy,6,76,204.82,144.24,28,182
298,SKU-000298,Synchronized static approach,3,25,15.07,9.85,37,87
299,SKU-000299,Organic 6thgeneration focus group,7,89,457.91,375.34,37,154
300,SKU-000300,Grass-roots next generation hardware,4,44,126.23,90.81,34,195
301,SKU-000301,Persistent background budgetary management,3,24,741.13,430.89,10,97
302,SKU-000302,Down-sized zero tolerance access,7,82,326.2,164.75,28,167
303,SKU-000303,Synergized secondary core,5,40,61.05,43.92,8,147
304,SKU-000304,Devolved non-volatile functionalities,14,29,490.54,363.36,17,119
305,SKU-000305,Fundamental tangible intranet,9,12,622.32,454.25,36,140
306,SKU-000306,Stand-alone multi-state knowledge user,6,5,590.95,298.46,42,148
307,SKU-000307,Optional grid-enabled project,10,27,154.38,81.68,26,178
308,SKU-000308,Expanded empowering data-warehouse,15,34,532.07,284.95,7,79
309,SKU-000309,Devolved maximized parallelism,11,48,426.94,266.84,41,146
310,SKU-000310,Total bi-directional product,12,2,479.05,339.75,15,157
311,SKU-000311,Cross-platform contextually-based help-desk,10,21,446.66,245.42,34,189
312,SKU-000312,Seamless logistical parallelism,14,94,152.82,97.96,30,171
313,SKU-000313,Multi-layered radical Graphical User Interface,16,87,824.28,429.31,30,126
314,SKU-000314,Optimized zero-defect flexibility,13,76,34.1,22.29,6,91
315,SKU-000315,Total multi-tasking customer loyalty,5,17,465.01,264.21,47,135
316,SKU-000316,Visionary client-server website,12,59,563.78,405.6,30,92
317,SKU-000317,Enhanced exuding function,3,24,296.25,237.0,20,102
318,SKU-000318,Vision-oriented holistic ability,16,21,470.51,225.11,27,75
319,SKU-000319,Extended methodical secured line,13,60,460.59,243.7,50,112
320,SKU-000320,Devolved impactful throughput,11,37,632.83,392.12,48,158
321,SKU-000321,Pre-emptive static support,1,29,442.8,307.5,43,95
322,SKU-000322,Mandatory motivating ability,13,10,577.14,395.3,46,108
323,SKU-000323,Extended exuding Internet solution,3,44,108.94,72.63,29,96
324,SKU-000324,Networked systematic matrices,2,34,304.67,219.19,31,95
325,SKU-000325,Configurable grid-enabled software,4,84,135.94,85.5,30,53
326,SKU-000326,Profit-focused human-resource software,15,2,146.01,84.4,36,152
327,SKU-000327,Optimized empowering support,4,78,302.19,218.98,33,178
328,SKU-000328,Managed national hierarchy,4,23,368.61,192.99,32,186
329,SKU-000329,Triple-buffered optimizing firmware,7,66,472.12,390.49,44,166
330,SKU-000330,Balanced bottom-line matrix,15,47,305.46,224.6,8,144
331,SKU-000331,Implemented zero administration algorithm,9,23,244.66,131.54,23,141
332,SKU-000332,Innovative scalable alliance,4,46,303.43,215.2,7,186
333,SKU-000333,Configurable national attitude,5,94,464.21,380.5,14,176
334,SKU-000334,Team-oriented regional encryption,17,73,351.31,222.35,34,60
335,SKU-000335,Digitized real-time success,4,49,57.97,41.41,37,70
336,SKU-000336,Open-architected 3rdgeneration contingency,9,93,269.21,174.81,46,70
337,SKU-000337,Re-engineered empowering framework,17,70,533.88,430.55,20,62
338,SKU-000338,Virtual intermediate focus group,6,36,246.04,193.73,37,61
339,SKU-000339,Horizontal encompassing ability,14,27,579.41,311.51,6,156
340,SKU-000340,Persistent radical utilization,11,13,453.13,338.16,19,107
341,SKU-000341,Cloned reciprocal forecast,15,76,15.23,11.9,31,134
342,SKU-000342,Advanced global Graphical User Interface,11,45,477.93,279.49,33,88
343,SKU-000343,Public-key tangible concept,13,33,301.08,238.95,30,58
344,SKU-000344,Pre-emptive next generation hardware,3,27,613.31,340.73,38,144
345,SKU-000345,Synergistic maximized algorithm,5,80,247.07,157.37,42,92
346,SKU-000346,Virtual 3rdgeneration system engine,10,72,491.82,321.45,36,110
347,SKU-000347,Robust bottom-line attitude,13,28,288.13,194.68,18,78
348,SKU-000348,Visionary zero-defect support,13,71,353.24,294.37,31,140
349,SKU-000349,Grass-roots foreground throughput,12,81,679.84,386.27,11,131
350,SKU-000350,Open-architected modular system engine,15,37,332.39,259.68,33,90
351,SKU-000351,Adaptive national groupware,15,84,646.3,475.22,16,75
352,SKU-000352,Open-source content-based productivity,1,80,304.07,198.74,19,85
353,SKU-000353,Re-engineered upward-trending installation,1,42,554.03,314.79,44,113
354,SKU-000354,Cross-group holistic adapter,13,71,164.04,87.72,37,99
355,SKU-000355,Up-sized disintermediate conglomeration,16,92,642.68,437.2,17,132
356,SKU-000356,Expanded object-oriented Local Area Network,15,32,90.18,69.37,48,163
357,SKU-000357,Stand-alone bifurcated website,11,21,205.36,125.22,20,168
358,SKU-000358,Automated systemic service-desk,14,67,725.01,371.8,35,148
359,SKU-000359,Public-key bottom-line structure,1,57,73.59,38.53,35,65
360,SKU-000360,Open-architected transitional migration,15,55,221.19,151.5,12,76
361,SKU-000361,Down-sized high-level installation,11,19,146.55,76.33,20,173
362,SKU-000362,Stand-alone system-worthy archive,15,91,155.25,109.33,36,112
363,SKU-000363,Team-oriented leadingedge groupware,15,90,533.38,389.33,21,195
364,SKU-000364,Devolved client-server model,10,4,281.24,142.76,19,144
365,SKU-000365,Universal cohesive open system,10,61,403.74,290.46,50,162
366,SKU-000366,Team-oriented clear-thinking circuit,10,50,675.42,346.37,21,108
367,SKU-000367,Fundamental high-level success,17,96,31.88,16.27,38,153
368,SKU-000368,Stand-alone coherent parallelism,17,41,355.38,246.79,38,145
369,SKU-000369,Polarized context-sensitive matrices,13,2,326.69,195.62,47,66
